# latex scheme: conventional LaTeX + AMS macro names.
# Generated by scripts/update-latex-symbols.py from https://www.w3.org/Math/characters/unicode.xml
# W3C XML Entity Definitions for Characters (W3C license).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
AA	00C5	LATIN CAPITAL LETTER A WITH RING ABOVE
AE	00C6	LATIN CAPITAL LETTER AE
Alpha	0391	GREEK CAPITAL LETTER ALPHA
Angle	299C	RIGHT ANGLE VARIANT WITH SQUARE
BbbPi	213F	DOUBLE-STRUCK CAPITAL PI
Beta	0392	GREEK CAPITAL LETTER BETA
Bumpeq	224E	GEOMETRICALLY EQUIVALENT TO
Cap	22D2	DOUBLE INTERSECTION
Chi	03A7	GREEK CAPITAL LETTER CHI
Colon	2237	PROPORTION
Cup	22D3	DOUBLE UNION
DH	00D0	LATIN CAPITAL LETTER ETH
DJ	0110	LATIN CAPITAL LETTER D WITH STROKE
Dashv	2AE4	VERTICAL BAR DOUBLE LEFT TURNSTILE
Ddownarrow	290B	DOWNWARDS TRIPLE ARROW
Delta	0394	GREEK CAPITAL LETTER DELTA
Digamma	03DC	GREEK LETTER DIGAMMA
Doteq	2251	GEOMETRICALLY EQUAL TO
DownArrowBar	2913	DOWNWARDS ARROW TO BAR
DownArrowUpArrow	21F5	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
DownLeftRightVector	2950	LEFT BARB DOWN RIGHT BARB DOWN HARPOON
DownLeftTeeVector	295E	LEFTWARDS HARPOON WITH BARB DOWN FROM BAR
DownLeftVectorBar	2956	LEFTWARDS HARPOON WITH BARB DOWN TO BAR
DownRightTeeVector	295F	RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR
DownRightVectorBar	2957	RIGHTWARDS HARPOON WITH BARB DOWN TO BAR
Downarrow	21D3	DOWNWARDS DOUBLE ARROW
ElOr	2A56	TWO INTERSECTING LOGICAL OR
Elolarr	2940	ANTICLOCKWISE CLOSED CIRCLE ARROW
Elorarr	2941	CLOCKWISE CLOSED CIRCLE ARROW
Elroang	2986	RIGHT WHITE PARENTHESIS
Elxsqcup	2A06	N-ARY SQUARE UNION OPERATOR
Elxuplus	2A04	N-ARY UNION OPERATOR WITH PLUS
ElzAnd	2A53	DOUBLE LOGICAL AND
ElzCint	2A0D	FINITE PART INTEGRAL
ElzInf	2A07	TWO LOGICAL AND OPERATOR
ElzLap	29CA	TRIANGLE WITH DOT ABOVE
ElzOr	2A54	DOUBLE LOGICAL OR
ElzRlarr	2942	RIGHTWARDS ARROW ABOVE SHORT LEFTWARDS ARROW
ElzSup	2A08	TWO LOGICAL OR OPERATOR
ElzThr	2A05	N-ARY SQUARE INTERSECTION OPERATOR
ElzTimes	2A2F	VECTOR OR CROSS PRODUCT
Elzbar	0336	COMBINING LONG STROKE OVERLAY
Elzbtdl	026C	LATIN SMALL LETTER L WITH BELT
Elzcirfb	25D2	CIRCLE WITH LOWER HALF BLACK
Elzcirfl	25D0	CIRCLE WITH LEFT HALF BLACK
Elzcirfr	25D1	CIRCLE WITH RIGHT HALF BLACK
Elzclomeg	0277	LATIN SMALL LETTER CLOSED OMEGA
Elzddfnc	2999	DOTTED FENCE
Elzdefas	29CB	TRIANGLE WITH UNDERBAR
Elzdlcorn	23A3	LEFT SQUARE BRACKET LOWER CORNER
Elzdshfnc	2506	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
Elzdyogh	02A4	LATIN SMALL LETTER DEZH DIGRAPH
Elzesh	0283	LATIN SMALL LETTER ESH
Elzfhr	027E	LATIN SMALL LETTER R WITH FISHHOOK
Elzglst	0294	LATIN LETTER GLOTTAL STOP
Elzhlmrk	02D1	MODIFIER LETTER HALF TRIANGULAR COLON
Elzinglst	0296	LATIN LETTER INVERTED GLOTTAL STOP
Elzinvv	028C	LATIN SMALL LETTER TURNED V
Elzinvw	028D	LATIN SMALL LETTER TURNED W
Elzlmrk	02D0	MODIFIER LETTER TRIANGULAR COLON
Elzlow	02D5	MODIFIER LETTER DOWN TACK
Elzlpargt	29A0	SPHERICAL ANGLE OPENING LEFT
Elzltlmr	0271	LATIN SMALL LETTER M WITH HOOK
Elzltln	0272	LATIN SMALL LETTER N WITH LEFT HOOK
Elzminhat	2A5F	LOGICAL AND WITH UNDERBAR
Elzopeno	0254	LATIN SMALL LETTER OPEN O
Elzpalh	0321	COMBINING PALATALIZED HOOK BELOW
Elzpbgam	0264	LATIN SMALL LETTER RAMS HORN
Elzpes	20A7	PESETA SIGN
Elzpgamma	0263	LATIN SMALL LETTER GAMMA
Elzpscrv	028B	LATIN SMALL LETTER V WITH HOOK
Elzpupsil	028A	LATIN SMALL LETTER UPSILON
ElzrLarr	2944	SHORT RIGHTWARDS ARROW ABOVE LEFTWARDS ARROW
Elzrais	02D4	MODIFIER LETTER UP TACK
Elzrarrx	2947	RIGHTWARDS ARROW THROUGH X
Elzreapos	201B	SINGLE HIGH-REVERSED-9 QUOTATION MARK
Elzreglst	0295	LATIN LETTER PHARYNGEAL VOICED FRICATIVE
Elzrh	0322	COMBINING RETROFLEX HOOK BELOW
Elzrl	027C	LATIN SMALL LETTER R WITH LONG LEG
Elzrtld	0256	LATIN SMALL LETTER D WITH TAIL
Elzrtll	026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK
Elzrtln	0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK
Elzrtlr	027D	LATIN SMALL LETTER R WITH TAIL
Elzrtls	0282	LATIN SMALL LETTER S WITH HOOK
Elzrtlt	0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK
Elzrtlz	0290	LATIN SMALL LETTER Z WITH RETROFLEX HOOK
Elzrttrnr	027B	LATIN SMALL LETTER TURNED R WITH HOOK
Elzrvbull	25D8	INVERSE BULLET
Elzsbbrg	032A	COMBINING BRIDGE BELOW
Elzsblhr	02D3	MODIFIER LETTER CENTRED LEFT HALF RING
Elzsbrhr	02D2	MODIFIER LETTER CENTRED RIGHT HALF RING
Elzschwa	0259	LATIN SMALL LETTER SCHWA
Elzsqfl	25E7	SQUARE WITH LEFT HALF BLACK
Elzsqfnw	2519	BOX DRAWINGS UP LIGHT AND LEFT HEAVY
Elzsqfr	25E8	SQUARE WITH RIGHT HALF BLACK
Elzsqfse	25EA	SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
Elzsqspne	22E5	SQUARE ORIGINAL OF OR NOT EQUAL TO
Elztdcol	2AF6	TRIPLE COLON OPERATOR
Elztesh	02A7	LATIN SMALL LETTER TESH DIGRAPH
Elztfnc	2980	TRIPLE VERTICAL BAR DELIMITER
Elztrna	0250	LATIN SMALL LETTER TURNED A
Elztrnh	0265	LATIN SMALL LETTER TURNED H
Elztrnm	026F	LATIN SMALL LETTER TURNED M
Elztrnmlr	0270	LATIN SMALL LETTER TURNED M WITH LONG LEG
Elztrnr	0279	LATIN SMALL LETTER TURNED R
Elztrnrl	027A	LATIN SMALL LETTER TURNED R WITH LONG LEG
Elztrnsa	0252	LATIN SMALL LETTER TURNED ALPHA
Elztrnt	0287	LATIN SMALL LETTER TURNED T
Elztrny	028E	LATIN SMALL LETTER TURNED Y
Elzverti	02CC	MODIFIER LETTER LOW VERTICAL LINE
Elzverts	02C8	MODIFIER LETTER VERTICAL LINE
Elzvrecto	25AF	WHITE VERTICAL RECTANGLE
Elzxh	0127	LATIN SMALL LETTER H WITH STROKE
Elzxl	0335	COMBINING SHORT STROKE OVERLAY
Elzxrat	211E	PRESCRIPTION TAKE
Elzyogh	0292	LATIN SMALL LETTER EZH
Epsilon	0395	GREEK CAPITAL LETTER EPSILON
Equal	2A75	TWO CONSECUTIVE EQUALS SIGNS
Eta	0397	GREEK CAPITAL LETTER ETA
Game	2141	TURNED SANS-SERIF CAPITAL G
Gamma	0393	GREEK CAPITAL LETTER GAMMA
H	030B	COMBINING DOUBLE ACUTE ACCENT
Im	2111	BLACK-LETTER CAPITAL I
Iota	0399	GREEK CAPITAL LETTER IOTA
Kappa	039A	GREEK CAPITAL LETTER KAPPA
Koppa	03DE	GREEK LETTER KOPPA
L	0141	LATIN CAPITAL LETTER L WITH STROKE
Lambda	039B	GREEK CAPITAL LETTER LAMDA
LeftDownTeeVector	2961	DOWNWARDS HARPOON WITH BARB LEFT FROM BAR
LeftDownVectorBar	2959	DOWNWARDS HARPOON WITH BARB LEFT TO BAR
LeftRightVector	294E	LEFT BARB UP RIGHT BARB UP HARPOON
LeftTeeVector	295A	LEFTWARDS HARPOON WITH BARB UP FROM BAR
LeftTriangleBar	29CF	LEFT TRIANGLE BESIDE VERTICAL BAR
LeftUpDownVector	2951	UP BARB LEFT DOWN BARB LEFT HARPOON
LeftUpTeeVector	2960	UPWARDS HARPOON WITH BARB LEFT FROM BAR
LeftUpVectorBar	2958	UPWARDS HARPOON WITH BARB LEFT TO BAR
LeftVectorBar	2952	LEFTWARDS HARPOON WITH BARB UP TO BAR
Leftarrow	21D0	LEFTWARDS DOUBLE ARROW
Leftrightarrow	21D4	LEFT RIGHT DOUBLE ARROW
Lleftarrow	21DA	LEFTWARDS TRIPLE ARROW
Longleftarrow	27F8	LONG LEFTWARDS DOUBLE ARROW
Longleftrightarrow	27FA	LONG LEFT RIGHT DOUBLE ARROW
Longrightarrow	27F9	LONG RIGHTWARDS DOUBLE ARROW
Lsh	21B0	UPWARDS ARROW WITH TIP LEFTWARDS
Mapsfrom	2906	LEFTWARDS DOUBLE ARROW FROM BAR
Mapsto	2907	RIGHTWARDS DOUBLE ARROW FROM BAR
NG	014A	LATIN CAPITAL LETTER ENG
NestedGreaterGreater	2AA2	DOUBLE NESTED GREATER-THAN
NestedLessLess	2AA1	DOUBLE NESTED LESS-THAN
O	00D8	LATIN CAPITAL LETTER O WITH STROKE
OE	0152	LATIN CAPITAL LIGATURE OE
Omega	03A9	GREEK CAPITAL LETTER OMEGA
P	00B6	PILCROW SIGN
Phi	03A6	GREEK CAPITAL LETTER PHI
Pi	03A0	GREEK CAPITAL LETTER PI
Psi	03A8	GREEK CAPITAL LETTER PSI
Re	211C	BLACK-LETTER CAPITAL R
ReverseUpEquilibrium	296F	DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
Rho	03A1	GREEK CAPITAL LETTER RHO
RightDownTeeVector	295D	DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR
RightDownVectorBar	2955	DOWNWARDS HARPOON WITH BARB RIGHT TO BAR
RightTeeVector	295B	RIGHTWARDS HARPOON WITH BARB UP FROM BAR
RightTriangleBar	29D0	VERTICAL BAR BESIDE RIGHT TRIANGLE
RightUpDownVector	294F	UP BARB RIGHT DOWN BARB RIGHT HARPOON
RightUpTeeVector	295C	UPWARDS HARPOON WITH BARB RIGHT FROM BAR
RightUpVectorBar	2954	UPWARDS HARPOON WITH BARB RIGHT TO BAR
RightVectorBar	2953	RIGHTWARDS HARPOON WITH BARB UP TO BAR
Rightarrow	21D2	RIGHTWARDS DOUBLE ARROW
RoundImplies	2970	RIGHT DOUBLE ARROW WITH ROUNDED HEAD
Rrightarrow	21DB	RIGHTWARDS TRIPLE ARROW
Rsh	21B1	UPWARDS ARROW WITH TIP RIGHTWARDS
RuleDelayed	29F4	RULE-DELAYED
S	00A7	SECTION SIGN
Sampi	03E0	GREEK LETTER SAMPI
Sigma	03A3	GREEK CAPITAL LETTER SIGMA
Stigma	03DA	GREEK LETTER STIGMA
Subset	22D0	DOUBLE SUBSET
Supset	22D1	DOUBLE SUPERSET
TH	00DE	LATIN CAPITAL LETTER THORN
Tau	03A4	GREEK CAPITAL LETTER TAU
Theta	0398	GREEK CAPITAL LETTER THETA
UpArrowBar	2912	UPWARDS ARROW TO BAR
UpEquilibrium	296E	UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
Uparrow	21D1	UPWARDS DOUBLE ARROW
Updownarrow	21D5	UP DOWN DOUBLE ARROW
Upsilon	03A5	GREEK CAPITAL LETTER UPSILON
Uuparrow	290A	UPWARDS TRIPLE ARROW
VDash	22AB	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
Vdash	22A9	FORCES
Vert	2016	DOUBLE VERTICAL LINE
Vvdash	22AA	TRIPLE VERTICAL BAR RIGHT TURNSTILE
Vvert	2980	TRIPLE VERTICAL BAR DELIMITER
Xi	039E	GREEK CAPITAL LETTER XI
Zeta	0396	GREEK CAPITAL LETTER ZETA
aa	00E5	LATIN SMALL LETTER A WITH RING ABOVE
acute	0301	COMBINING ACUTE ACCENT
adots	22F0	UP RIGHT DIAGONAL ELLIPSIS
ae	00E6	LATIN SMALL LETTER AE
aleph	2135	ALEF SYMBOL
allequal	224C	ALL EQUAL TO
alpha	03B1	GREEK SMALL LETTER ALPHA
amalg	2A3F	AMALGAMATION OR COPRODUCT
angle	2220	ANGLE
approx	2248	ALMOST EQUAL TO
approxeq	224A	ALMOST EQUAL OR EQUAL TO
approxnotequal	2246	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
aquarius	2652	AQUARIUS
aries	2648	ARIES
arrowwaveright	219C	LEFTWARDS WAVE ARROW
ast	002A	ASTERISK
asymp	224D	EQUIVALENT TO
backepsilon	03F6	GREEK REVERSED LUNATE EPSILON SYMBOL
backprime	2035	REVERSED PRIME
