# rocq scheme: RocqIDE default unicode bindings (latex-style).
# Generated by scripts/update-rocq-symbols.py from https://raw.githubusercontent.com/rocq-prover/rocq/master/ide/rocqide/default_bindings_src.ml
# rocq-prover/rocq (LGPL-2.1-only).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
->	2192	arrows
:=	225D	equivalence relations
<-	2190	arrows
<=	2264	order relations
<==	21D0	arrows
<==>	21D4	arrows
==>	21D2	arrows
>=	2265	order relations
AElig	00C6	letters
Aacute	00C1	letters
Abreve	0102	letters
Acirc	00C2	letters
Acy	0410	letters
Afr	1D504	miscellanea
Agrave	00C0	letters
Amacr	0100	letters
And	2A53	miscellanea
Aogon	0104	letters
Aopf	1D538	letters
ApplyFunction	2061	spaces
Aring	00C5	letters
Ascr	1D49C	miscellanea
Assign	2254	equivalence relations
Atilde	00C3	letters
Auml	00C4	letters
Backslash	2216	mathematics
Barv	2AE7	miscellanea
Barwed	2306	symbols
Bcy	0411	letters
Because	2235	symbols
Bernoullis	212C	letters
Bfr	1D505	miscellanea
Bopf	1D539	letters
Breve	02D8	symbols
Bscr	212C	letters
Bumpeq	224E	equivalence relations
CHcy	0427	letters
Cacute	0106	letters
Cap	22D2	set theory
CapitalDifferentialD	2145	letters
Cayleys	212D	letters
Ccaron	010C	letters
Ccedil	00C7	letters
Ccirc	0108	letters
Cconint	2230	mathematics
Cdot	010A	letters
Cedilla	00B8	symbols
CenterDot	00B7	symbols
Cfr	212D	letters
CircleDot	2299	circles
CircleMinus	2296	circles
CirclePlus	2295	circles
CircleTimes	2297	circles
ClockwiseContourIntegral	2232	mathematics
CloseCurlyDoubleQuote	201D	symbols
CloseCurlyQuote	2019	symbols
Colon	2237	symbols
Colone	2A74	miscellanea
Congruent	2261	equivalence relations
Conint	222F	mathematics
ContourIntegral	222E	mathematics
Copf	2102	letters
Coproduct	2210	set theory
CounterClockwiseContourIntegral	2233	mathematics
Cross	2A2F	mathematics
Cscr	1D49E	miscellanea
Cup	22D3	set theory
CupCap	224D	equivalence relations
DD	2145	letters
DDotrahd	2911	arrows
DJcy	0402	letters
DScy	0405	letters
DZcy	040F	letters
Dagger	2021	symbols
Darr	21A1	arrows
Dashv	2AE4	miscellanea
Dcaron	010E	letters
Dcy	0414	letters
Del	2207	triangles
Delta	0394	greek letter
Dfr	1D507	miscellanea
DiacriticalAcute	00B4	symbols
DiacriticalDot	02D9	symbols
DiacriticalDoubleAcute	02DD	symbols
DiacriticalTilde	02DC	symbols
Diamond	22C4	symbols
DifferentialD	2146	letters
Dopf	1D53B	letters
Dot	00A8	symbols
DotDot	20DC	symbols
DotEqual	2250	equivalence relations
DoubleContourIntegral	222F	mathematics
DoubleDot	00A8	symbols
DoubleDownArrow	21D3	arrows
DoubleLeftArrow	21D0	arrows
DoubleLeftRightArrow	21D4	arrows
DoubleLeftTee	2AE4	miscellanea
